,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
59,0.0,0.05,0.1,0.2,59,776.1129283489097,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",139.75056606042463,MEGHNA BRIDGE
60,0.0,0.1,0.2,0.4,60,941.7396166134185,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.01039327921058,MEGHNA BRIDGE
61,0.0,0.1,0.2,0.4,61,884.0071090047394,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.75350759115743,BAROCONDO BRIDGE
62,0.0,0.1,0.2,0.4,62,1284.1720067453625,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.52152879547836,MEGHNA BRIDGE
63,0.0,0.1,0.2,0.4,63,919.4792663476874,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.03659494069257,DHOOM GHAT PC GIRDER
64,0.0,0.1,0.2,0.4,64,945.2372204472844,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",67.68565183343276,ASHIR CHAR (R)
65,0.0,0.1,0.2,0.4,65,894.3544805709754,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.94451119776601,PURPU DURGAPURE BOX CUL
66,0.0,0.1,0.2,0.4,66,914.0951625693893,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.4086561354177,KANCHPUR PC GIRDER BRIDGE
67,0.0,0.1,0.2,0.4,67,771.2344236760125,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.77907072911463,BORO KUMIRA BRIDGE
68,0.0,0.1,0.2,0.4,68,757.2108527131783,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.2888214579081,MIRAISORI BRIDGE
69,0.0,0.1,0.2,0.4,69,1016.8793522267207,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.3697323460538,MEGHNA BRIDGE
70,0.05,0.1,0.2,0.4,70,1061.865635179153,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.3252069367233,KANCHPUR PC GIRDER BRIDGE
71,0.05,0.1,0.2,0.4,71,1045.3492706645056,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",138.81126873453124,KANCHPUR PC GIRDER BRIDGE
72,0.05,0.1,0.2,0.4,72,974.9599037690457,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.64432988539346,Daud Kandi Bridge
73,0.05,0.1,0.2,0.4,73,1286.4226542688082,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.3282120050381,DHOOM GHAT PC GIRDER
74,0.05,0.1,0.2,0.4,74,1306.6237288135594,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.54182846314993,KANCHPUR PC GIRDER BRIDGE
75,0.05,0.1,0.2,0.4,75,1220.1396321070233,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.8292995250255,MEGHNA BRIDGE
76,0.05,0.1,0.2,0.4,76,1176.144398340249,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.8996114699811,Daud Kandi Bridge
77,0.05,0.1,0.2,0.4,77,1288.8162574089754,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.1931748520324,KANCHPUR PC GIRDER BRIDGE
78,0.05,0.1,0.2,0.4,78,1316.2313559322033,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",142.11975164534945,KANCHPUR PC GIRDER BRIDGE
79,0.05,0.1,0.2,0.4,79,1103.0410172272354,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.192741675432295,CHANDINA- SHAHA PARA RCC GIDER GRIDGE
80,0.1,0.2,0.4,0.8,80,1828.5483271375465,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",141.15592127262673,MEGHNA BRIDGE
81,0.1,0.2,0.4,0.8,81,1450.3478260869565,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.66194938766208,KANCHPUR PC GIRDER BRIDGE
82,0.1,0.2,0.4,0.8,82,1464.357328707719,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",38.02180445949654,Ginlatoly
83,0.1,0.2,0.4,0.8,83,1517.100352112676,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",67.57866491123198,ASHIR CHAR (R)
84,0.1,0.2,0.4,0.8,84,1635.229802513465,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",67.80441949197554,LANGOLBANDO PC GIDER BRIDGE
85,0.1,0.2,0.4,0.8,85,1572.9512411347519,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.8523961701618,ASHIR CHAR (Right)
86,0.1,0.2,0.4,0.8,86,1810.4264432029795,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.82284754499773,MEGHNA BRIDGE
87,0.1,0.2,0.4,0.8,87,1688.7420526793824,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.35875016602975,MEGHNA BRIDGE
88,0.1,0.2,0.4,0.8,88,1255.386038687973,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.12601806153242,MEGHNA BRIDGE
89,0.1,0.2,0.4,0.8,89,1295.5972927241962,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.21414284355166,KANCHPUR PC GIRDER BRIDGE
