,prob_A,prob_D,prob_C,prob_B,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
39,0.0,0.0,0.05,0.1,39,299.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
40,0.0,0.0,0.1,0.2,40,313.4843863471314,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",14.98211623026602,BOCTAR KANDI BOX CULVERT
41,0.0,0.0,0.1,0.2,41,373.0752923976608,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.72256739380808,BALDHA KHAL RCC GIDER BRIDGE
42,0.0,0.0,0.1,0.2,42,512.3076347305389,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",139.94521720311562,Daud Kandi Bridge
43,0.0,0.0,0.1,0.2,43,367.23482077542064,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.60835020689609,Mostapur Bridge
44,0.0,0.0,0.1,0.2,44,475.6768202080238,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",140.37486206058495,KANCHPUR PC GIRDER BRIDGE
45,0.0,0.0,0.1,0.2,45,511.3717277486911,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",138.93688912239827,Daud Kandi Bridge
46,0.0,0.0,0.1,0.2,46,299.0,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",0.0,CORNAIL HAT BOX CULVERT
47,0.0,0.0,0.1,0.2,47,411.60103244837757,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.87377093067202,ISAMATI BOX CULVERT
48,0.0,0.0,0.1,0.2,48,350.43024105186265,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",37.48928631166426,Ginlatoly
49,0.0,0.0,0.1,0.2,49,454.14974054855446,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}",140.31816339743233,KANCHPUR PC GIRDER BRIDGE
50,0.0,0.05,0.1,0.2,50,426.42645971914266,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",38.42845560214164,MUDDO SONAISORI BRIDGE
51,0.0,0.05,0.1,0.2,51,677.4862174578867,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",140.02143745869668,Daud Kandi Bridge
52,0.0,0.05,0.1,0.2,52,389.0593841642229,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",15.132187746047462,BOSONTA PUR BOX CULVERT
53,0.0,0.05,0.1,0.2,53,403.2540500736377,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.81547117109769,LAL BAG RCC GIDER BRIDGE
54,0.0,0.05,0.1,0.2,54,350.43024105186265,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.48908826618638,KYSTELGATE ARCH
55,0.0,0.05,0.1,0.2,55,529.5250936329588,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",38.28020907618199,CHANDINA- SHAHA PARA RCC GIDER GRIDGE
56,0.0,0.05,0.1,0.2,56,425.4346863468635,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.72014161082216,SHAHID NAGIR
57,0.0,0.05,0.1,0.2,57,373.7803806734993,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",15.140205660579642,SANGAKADI CULVERT
58,0.0,0.05,0.1,0.2,58,366.59795321637426,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",38.217267556799975,ILLIOT BAZER
59,0.0,0.05,0.1,0.2,59,327.9621818181818,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",15.002974967945349,JAGARNATHPUR BOX CULVERT
60,0.0,0.1,0.2,0.4,60,456.4069681245367,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.56677464083344,ILLIOT BAZER
61,0.0,0.1,0.2,0.4,61,624.2307692307693,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.48312108648705,Daud Kandi Bridge
62,0.0,0.1,0.2,0.4,62,657.6625860749808,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.27163352055828,KANCHPUR PC GIRDER BRIDGE
63,0.0,0.1,0.2,0.4,63,590.0022692889561,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.25542334816015,BAROCONDO BRIDGE
64,0.0,0.1,0.2,0.4,64,642.4468247895945,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.602935623419064,PADUAR BAZER RCCGIDER
65,0.0,0.1,0.2,0.4,65,729.7380216383308,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.2855709188277,Daud Kandi Bridge
66,0.0,0.1,0.2,0.4,66,573.9087481146305,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.64298667438896,MEGHNA BRIDGE
67,0.0,0.1,0.2,0.4,67,843.8875786163522,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.8485372025805,Daud Kandi Bridge
68,0.0,0.1,0.2,0.4,68,480.7490692479523,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",138.21730191038748,DHOOM GHAT PC GIRDER
69,0.0,0.1,0.2,0.4,69,587.6334089191232,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.34074661173702,NAYABARI BOX CULVERT
70,0.05,0.1,0.2,0.4,70,999.7572580645161,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.7350092795955,MEGHNA BRIDGE
71,0.05,0.1,0.2,0.4,71,770.9805749805749,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.23565487812817,FATAPUR BOX CULVERT
72,0.05,0.1,0.2,0.4,72,620.8417047184171,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.58186303267389,RAZAPARA RCC GIDER BRIDGE
73,0.05,0.1,0.2,0.4,73,823.0931871574002,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.13469675174386,MEGHNA BRIDGE
74,0.05,0.1,0.2,0.4,74,993.4312297734627,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.9359318003421,MEGHNA BRIDGE
75,0.05,0.1,0.2,0.4,75,886.8769841269841,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.2344307781916,Daud Kandi Bridge
76,0.05,0.1,0.2,0.4,76,689.9877017678708,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.918053144663645,DHAMAKHALI BRIDGE
77,0.05,0.1,0.2,0.4,77,720.3320463320464,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.10450388996114,MEGHNA BRIDGE
78,0.05,0.1,0.2,0.4,78,742.2737819025522,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.4632899972722,KANCHPUR PC GIRDER BRIDGE
79,0.05,0.1,0.2,0.4,79,845.8034591194969,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.27202167426933,KANCHPUR PC GIRDER BRIDGE
80,0.1,0.2,0.4,0.8,80,1256.4693534844669,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.83536006400374,MEGHNA BRIDGE
81,0.1,0.2,0.4,0.8,81,1367.4931506849316,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",141.50188084697393,KANCHPUR PC GIRDER BRIDGE
82,0.1,0.2,0.4,0.8,82,1487.4601924759404,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",141.21027597062363,Daud Kandi Bridge
83,0.1,0.2,0.4,0.8,83,924.8834796488428,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",38.26004866751651,SONARKALI BRIDGE(R)
84,0.1,0.2,0.4,0.8,84,1173.084577114428,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",141.21149849804803,KANCHPUR PC GIRDER BRIDGE
85,0.1,0.2,0.4,0.8,85,1376.255355612682,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.83143969123034,Daud Kandi Bridge
86,0.1,0.2,0.4,0.8,86,1261.5870479394448,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.60310753105338,KANCHPUR PC GIRDER BRIDGE
87,0.1,0.2,0.4,0.8,87,767.8729540140296,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",68.32389735423787,LANGOLBANDO PC GIDER BRIDGE
88,0.1,0.2,0.4,0.8,88,1162.4672199170125,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.21605539501155,DHOOM GHAT PC GIRDER
89,0.1,0.2,0.4,0.8,89,1196.842940685046,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",141.52106843695847,MEGHNA BRIDGE
