,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
59,0.0,0.05,0.1,0.2,59,653.4491201224178,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",37.86898031715637,BAROCONDO BRIDGE
60,0.0,0.1,0.2,0.4,60,942.3368,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.40242056080902,MEGHNA BRIDGE
61,0.0,0.1,0.2,0.4,61,973.0657051282051,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.90584966068585,Daud Kandi Bridge
62,0.0,0.1,0.2,0.4,62,1052.2181670721816,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.96603979969139,CHAR BOWSHIA BRIDGE(R)
63,0.0,0.1,0.2,0.4,63,907.4868943606036,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.05572055477368,MUDDO SONAISORI BRIDGE
64,0.0,0.1,0.2,0.4,64,1000.9394184168013,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.76932857124436,MEGHNA BRIDGE
65,0.0,0.1,0.2,0.4,65,1351.2382176520994,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.1326572886514,MEGHNA BRIDGE
66,0.0,0.1,0.2,0.4,66,1051.9232653061224,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.74622166165398,Daud Kandi Bridge
67,0.0,0.1,0.2,0.4,67,869.7134964483031,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.7404821348666,MEGHNA BRIDGE
68,0.0,0.1,0.2,0.4,68,741.5263157894736,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.912278764036664,Mostapur Bridge
69,0.0,0.1,0.2,0.4,69,713.2212798766384,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.201814495683095,NAYABARI BOX CULVERT
70,0.05,0.1,0.2,0.4,70,1124.6454545454546,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.4954453423401,MEGHNA BRIDGE
71,0.05,0.1,0.2,0.4,71,1200.9725913621262,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.14378836103674,Daud Kandi Bridge
72,0.05,0.1,0.2,0.4,72,1243.7153652392947,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",142.10453516314675,KANCHPUR PC GIRDER BRIDGE
73,0.05,0.1,0.2,0.4,73,1012.1315577078288,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.275043430302595,Mostapur Bridge
74,0.05,0.1,0.2,0.4,74,1427.2095238095237,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.26926502640814,KANCHPUR PC GIRDER BRIDGE
75,0.05,0.1,0.2,0.4,75,1166.6371168185583,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",138.80523497060278,MEGHNA BRIDGE
76,0.05,0.1,0.2,0.4,76,991.1051364365971,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.70784989058268,BORO KUMIRA BRIDGE
77,0.05,0.1,0.2,0.4,77,1037.7696674776967,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",68.18545293648373,ASHIR CHAR (R)
78,0.05,0.1,0.2,0.4,78,1043.5137763371151,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.504797363071745,SHLAKHAR PAD BRIDGE
79,0.05,0.1,0.2,0.4,79,951.7882919005614,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.69804475227812,PURPU DURGAPURE BOX CUL
80,0.1,0.2,0.4,0.8,80,1688.7858439201452,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.1963594146141,KANCHPUR PC GIRDER BRIDGE
81,0.1,0.2,0.4,0.8,81,1474.919964819701,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.84283909491057,MEGHNA BRIDGE
82,0.1,0.2,0.4,0.8,82,1372.8174807197943,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",137.8389576082028,Daud Kandi Bridge
83,0.1,0.2,0.4,0.8,83,1622.437890974084,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.92013072809453,Daud Kandi Bridge
84,0.1,0.2,0.4,0.8,84,1930.657495256167,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",142.89349093713614,Daud Kandi Bridge
85,0.1,0.2,0.4,0.8,85,1739.0283105022831,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.73215201619539,KANCHPUR PC GIRDER BRIDGE
86,0.1,0.2,0.4,0.8,86,1721.4455626715462,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.6646468113693,KANCHPUR PC GIRDER BRIDGE
87,0.1,0.2,0.4,0.8,87,1539.9214474845544,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.8905988433066,Daud Kandi Bridge
88,0.1,0.2,0.4,0.8,88,1341.9402730375427,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.37497606799133,KANCHPUR PC GIRDER BRIDGE
89,0.1,0.2,0.4,0.8,89,1193.9633333333334,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",67.66935058953315,LANGOLBANDO PC GIDER BRIDGE
